Animal,Session,Type,nTrial,Flavour,CS1,CS2,Date
77,165,3,510,Ribena,HFLS,LFLS,01-Nov-2018
77,166,3,560,Ribena,LFLS,HFLS,02-Nov-2018
77,168,3,586,Ribena,LFLS,HFLS,07-Nov-2018
77,169,4,550,Ribena,HFHS,LFHS,08-Nov-2018
77,172,1,503,Ribena,LFLS,LFHS,13-Nov-2018
77,173,2,500,Ribena,HFLS,HFHS,14-Nov-2018
77,174,5,500,Ribena,HFLS,LFHS,16-Nov-2018
77,177,3,400,Ribena,LFLS,HFLS,20-Nov-2018
77,178,5,500,Ribena,HFLS,LFHS,21-Nov-2018
77,179,4,550,Ribena,HFHS,LFHS,22-Nov-2018
77,181,3,510,Ribena,HFLS,LFLS,29-Nov-2018
77,182,5,500,Ribena,LFHS,HFLS,30-Nov-2018
77,184,1,500,Ribena,LFHS,LFLS,04-Dec-2018
77,185,5,500,Ribena,LFHS,HFLS,05-Dec-2018
77,187,3,500,Ribena,HFLS,LFLS,07-Dec-2018
77,190,1,500,Ribena,LFHS,LFLS,13-Dec-2018
77,191,2,500,Ribena,HFHS,HFLS,14-Dec-2018
77,192,3,500,Ribena,LFLS,HFLS,17-Dec-2018
77,286,6,500,Ribena,HFHS,LFLS,21-Apr-2020
77,287,6,500,Ribena,LFLS,HFHS,22-Apr-2020
77,270,5,394,Peach,HFLS,LFHS,26-Mar-2020
77,271,5,450,Peach,LFHS,HFLS,27-Mar-2020
77,272,2,500,Peach,HFHS,HFLS,30-Mar-2020
77,273,1,450,Peach,LFLS,LFHS,31-Mar-2020
77,274,1,500,Peach,LFHS,LFLS,02-Apr-2020
77,275,3,368,Peach,HFLS,LFLS,03-Apr-2020
77,276,3,399,Peach,LFLS,HFLS,06-Apr-2020
77,277,4,500,Peach,HFHS,LFHS,07-Apr-2020
77,278,4,505,Peach,LFHS,HFHS,08-Apr-2020
77,279,6,500,Peach,HFHS,LFLS,10-Apr-2020
77,280,6,500,Peach,LFLS,HFHS,13-Apr-2020
77,281,3,218,Peach,LFLS,HFLS,14-Apr-2020
77,282,5,500,Peach,LFHS,HFLS,15-Apr-2020
77,283,5,437,Peach,HFLS,LFHS,16-Apr-2020
77,284,1,500,Peach,LFHS,LFLS,17-Apr-2020
77,285,1,447,Peach,LFLS,LFHS,20-Apr-2020
77,288,2,500,Peach,HFLS,HFHS,23-Apr-2020
77,289,4,500,Peach,LFHS,HFHS,24-Apr-2020
77,290,6,500,Peach,LFLS,HFHS,27-Apr-2020
80,22,1,600,Ribena,LFLS,LFHS,13-Nov-2018
80,23,2,600,Ribena,HFLS,HFHS,14-Nov-2018
80,24,5,650,Ribena,HFLS,LFHS,16-Nov-2018
80,26,3,600,Ribena,LFLS,HFLS,20-Nov-2018
80,27,5,600,Ribena,HFLS,LFHS,21-Nov-2018
80,28,4,600,Ribena,HFHS,LFHS,22-Nov-2018
80,29,3,460,Ribena,HFLS,LFLS,29-Nov-2018
80,30,5,600,Ribena,LFHS,HFLS,30-Nov-2018
80,32,5,363,Ribena,LFHS,HFLS,05-Dec-2018
80,34,3,600,Ribena,HFLS,LFLS,07-Dec-2018
80,37,1,599,Ribena,LFHS,LFLS,13-Dec-2018
80,38,2,600,Ribena,HFHS,HFLS,14-Dec-2018
80,39,3,600,Ribena,LFLS,HFLS,17-Dec-2018
80,98,6,500,Ribena,LFLS,HFHS,10-Jun-2019
80,99,6,500,Ribena,HFHS,LFLS,11-Jun-2019
80,103,2,500,Ribena,HFLS,HFHS,17-Jun-2019
80,104,4,500,Ribena,LFHS,HFHS,21-Jun-2019
80,121,6,518,Ribena,HFHS,LFLS,12-Sep-2019
80,122,6,427,Ribena,LFLS,HFHS,13-Sep-2019
80,123,6,450,Ribena,HFHS,LFLS,16-Sep-2019
80,124,2,421,Ribena,HFHS,HFLS,18-Sep-2019
